Sender,Recipient,sender.group,receiver.group,SenderLat,SenderLong,RecLat,RecLong,Date
Whitman; Walt,Harper's Magazine,1,5,40.678145,-73.944467,40.680048,-73.94318,1860-01-07
Whitman; Walt,New York Sunday Courier,1,5,40.678145,-73.944467,40.680048,-73.94318,1860-01-16
Whitman; Walt,Lowell; James Russell,1,5,40.678145,-73.944467,42.358761,-71.063832,1860-01-20
Thayer & Eldridge,Whitman; Walt,5,1,42.358761,-71.063832,40.678145,-73.944467,1860-02-10
Thayer & Eldridge,Whitman; Walt,5,1,42.358761,-71.063832,40.678145,-73.944467,1860-02-27
Thayer & Eldridge,Whitman; Walt,5,1,42.358761,-71.063832,40.678145,-73.944467,1860-03-02
Whitman; Walt,Editor of the Atlantic Monthly,1,5,40.678145,-73.944467,42.358761,-71.063832,1860-03-02
Ticknor & Fields,Whitman; Walt,5,1,42.358761,-71.063832,40.678145,-73.944467,1860-03-06
Thayer & Eldridge,Whitman; Walt,5,1,42.358761,-71.063832,40.678145,-73.944467,1860-03-07
Thayer & Eldridge [DUPLICATE],Whitman; Walt,5,1,42.358761,-71.063832,40.678145,-73.944467,1860-03-07
Thayer & Eldridge,Whitman; Walt,5,1,42.358761,-71.063832,40.678145,-73.944467,1860-03-09
Vaughan; Fred,Whitman; Walt,3,1,40.680048,-73.94318,42.358761,-71.063832,1860-03-19
Hine; Charles,Whitman; Walt,3,1,40.680048,-73.94318,42.358761,-71.063832,1860-03-21
Vaughan; Fred,Whitman; Walt,3,1,40.680048,-73.94318,42.358761,-71.063832,1860-03-21
Clapp Jr.; Henry,Whitman; Walt,5,1,40.680048,-73.94318,42.358761,-71.063832,1860-03-27
Vaughan; Fred,Whitman; Walt,3,1,40.680048,-73.94318,42.358761,-71.063832,1860-03-27
Whitman; Walt,Price; Abby H.,1,3,42.358761,-71.063832,40.680048,-73.94318,1860-03-29
Whitman; Walt,Whitman; Thomas Jefferson,1,2,42.358761,-71.063832,40.678145,-73.944467,1860-04-01
Whitman; Thomas Jefferson,Whitman; Walt,2,1,40.678145,-73.944467,42.358761,-71.063832,1860-04-03
