Sender,Recipient,SenderLat,SenderLong,RecLat,RecLong,Date
Whitman; Walt,Harper's Magazine,40.67815,-73.9445,40.68005,-73.9432,1860-01-07
Whitman; Walt,New York Sunday Courier,40.67815,-73.9445,40.68005,-73.9432,1860-01-16
Whitman; Walt,Lowell; James Russell,40.67815,-73.9445,42.35876,-71.0638,1860-01-20
Thayer & Eldridge,Whitman; Walt,42.35876,-71.0638,40.67815,-73.9445,1860-02-10
Thayer & Eldridge,Whitman; Walt,42.35876,-71.0638,40.67815,-73.9445,1860-02-27
Thayer & Eldridge,Whitman; Walt,42.35876,-71.0638,40.67815,-73.9445,1860-03-02
Whitman; Walt,Editor of the Atlantic Monthly,40.67815,-73.9445,42.35876,-71.0638,1860-03-02
Ticknor & Fields,Whitman; Walt,42.35876,-71.0638,40.67815,-73.9445,1860-03-06
Thayer & Eldridge,Whitman; Walt,42.35876,-71.0638,40.67815,-73.9445,1860-03-07
Thayer & Eldridge [DUPLICATE],Whitman; Walt,42.35876,-71.0638,40.67815,-73.9445,1860-03-07
Thayer & Eldridge,Whitman; Walt,42.35876,-71.0638,40.67815,-73.9445,1860-03-09
Vaughan; Fred,Whitman; Walt,40.68005,-73.9432,42.35876,-71.0638,1860-03-19
Hine; Charles,Whitman; Walt,40.68005,-73.9432,42.35876,-71.0638,1860-03-21
Vaughan; Fred,Whitman; Walt,40.68005,-73.9432,42.35876,-71.0638,1860-03-21
Clapp Jr.; Henry,Whitman; Walt,40.68005,-73.9432,42.35876,-71.0638,1860-03-27
Vaughan; Fred,Whitman; Walt,40.68005,-73.9432,42.35876,-71.0638,1860-03-27
Whitman; Walt,Price; Abby H.,42.35876,-71.0638,40.68005,-73.9432,1860-03-29
Whitman; Walt,Whitman; Thomas Jefferson,42.35876,-71.0638,40.67815,-73.9445,1860-04-01
Whitman; Thomas Jefferson,Whitman; Walt,40.67815,-73.9445,42.35876,-71.0638,1860-04-03
Whitman; Louisa Van Velsor,Whitman; Walt,40.67815,-73.9445,42.35876,-71.0638,1860-04-04
Sammis; O. K.,Whitman; Walt,40.67815,-73.9445,42.35876,-71.0638,1860-04-06
Vaughan; Fred,Whitman; Walt,40.68005,-73.9432,42.35876,-71.0638,1860-04-09
Whitman; Thomas Jefferson,Whitman; Walt,40.67815,-73.9445,42.35876,-71.0638,1860-04-16
Baker; Frederick,Whitman; Walt,40.68005,-73.9432,42.35876,-71.0638,1860-04-23
Whitman; Walt,Baker; Frederick,42.35876,-71.0638,40.68005,-73.9432,1860-04-24
Vaughan; Fred,Whitman; Walt,40.68005,-73.9432,42.35876,-71.0638,1860-04-30
Whitman; Walt,Thayer & Eldridge,40.67815,-73.9445,42.35876,-71.0638,1860-05-01
Whitman; Walt,Whitman; Thomas Jefferson,42.35876,-71.0638,40.67815,-73.9445,1860-05-10
Clapp; Jr.; Henry,Whitman; Walt,40.68005,-73.9432,42.35876,-71.0638,1860-05-12
Clapp Jr.; Henry,Whitman; Walt,40.68005,-73.9432,42.35876,-71.0638,1860-05-14
Vaughan; Fred,Whitman; Walt,40.68005,-73.9432,42.35876,-71.0638,1860-05-17
Heyde; Charles L.,Whitman; Walt,44.47593,-73.2122,42.35876,-71.0638,1860-05-18
Vaughan; Fred,Whitman; Walt,42.35876,-71.0638,42.35876,-71.0638,1860-05-21
Thayer & Eldridge,Whitman; Walt,42.35876,-71.0638,40.67815,-73.9445,1860-05-24
Thayer; William Wilde,Whitman; Walt,42.35876,-71.0638,40.67815,-73.9445,1860-06-05
Whitman; Walt,Clapp; Henry Jr.,40.67815,-73.9445,40.68005,-73.9432,1860-06-12
Thayer & Eldridge,Whitman; Walt,42.35876,-71.0638,40.67815,-73.9445,1860-06-14
Redpath; James,Whitman; Walt,42.4251,-71.0662,40.67815,-73.9445,1860-06-25
Smith; Susan Garnet,Whitman; Walt,41.76351,-72.6847,40.67815,-73.9445,1860-07-11
Thayer & Eldridge,Whitman; Walt,42.35876,-71.0638,40.67815,-73.9445,1860-07-27
Whitman; Walt,Thayer & Eldridge,40.67815,-73.9445,42.35876,-71.0638,1860-08-01
Walton; Wilhelmina,Whitman; Walt,41.76371,-72.6851,40.67815,-73.9445,1860-08-16
Thayer & Eldridge,Whitman; Walt,42.35876,-71.0638,40.67815,-73.9445,1860-08-17
Thayer & Eldridge,Whitman; Walt,42.35876,-71.0638,40.67815,-73.9445,1860-10-11
Thayer & Eldridge,Whitman; Walt,42.35876,-71.0638,40.67815,-73.9445,1860-10-15
Thayer & Eldridge [DUPLICATE],Whitman; Walt,42.35876,-71.0638,40.67815,-73.9445,1860-10-15
Thayer & Eldridge,Whitman; Walt,42.35876,-71.0638,40.67815,-73.9445,1860-12-01
Thayer & Eldridge,Whitman; Walt,42.35876,-71.0638,40.67815,-73.9445,1860-12-05
Jewell; Harvey; Kendall; C.S.,Whitman; Walt,42.35876,-71.0638,40.67815,-73.9445,1861-02-06
Thayer; William Wilde,Whitman; Walt,42.35876,-71.0638,40.67815,-73.9445,1861-04-19
