Sender,Recipient,Sender's Location,Recipient's Location,sender.group,SenderLat,SenderLong,RecLat,RecLong,Date,WWA ID,Link
"Whitman, Walt",Harper's Magazine,"Brooklyn, NY","New York, NY",1,40.678145,-73.944467,40.680048,-73.94318,1860-01-07,,
"Whitman, Walt",New York Sunday Courier,"Brooklyn, NY","New York, NY",1,40.678145,-73.944467,40.680048,-73.94318,1860-01-16,loc.00755.xml,http://whitman-dev.unl.edu/biography/correspondence/cw/tei/loc.00755.html
"Whitman, Walt","Lowell, James Russell","Brooklyn, NY","Boston, MA",1,40.678145,-73.944467,42.358761,-71.063832,1860-01-20,uva.00342.xml,http://whitman-dev.unl.edu/biography/correspondence/cw/tei/uva.00342.html
Thayer & Eldridge,"Whitman, Walt","Boston, MA","Brooklyn, NY",5,42.358761,-71.063832,40.678145,-73.944467,1860-02-10,loc.00560.xml,http://whitman-dev.unl.edu/biography/correspondence/cw/tei/loc.00560.html
Thayer & Eldridge,"Whitman, Walt","Boston, MA","Brooklyn, NY",5,42.358761,-71.063832,40.678145,-73.944467,1860-02-27,loc.00561.xml,http://whitman-dev.unl.edu/biography/correspondence/cw/tei/loc.00561.html
Thayer & Eldridge,"Whitman, Walt","Boston, MA","Brooklyn, NY",5,42.358761,-71.063832,40.678145,-73.944467,1860-03-02,loc.00562.xml,http://whitman-dev.unl.edu/biography/correspondence/cw/tei/loc.00562.html
"Whitman, Walt",Editor of the Atlantic Monthly,"Brooklyn, NY","Boston, MA",1,40.678145,-73.944467,42.358761,-71.063832,1860-03-02,prc.00003.xml,http://whitman-dev.unl.edu/biography/correspondence/cw/tei/prc.00003.html
Ticknor & Fields,"Whitman, Walt","Boston, MA","Brooklyn, NY",5,42.358761,-71.063832,40.678145,-73.944467,1860-03-06,med.00319.xml,http://whitman-dev.unl.edu/biography/correspondence/cw/tei/med.00319.html
Thayer & Eldridge,"Whitman, Walt","Boston, MA","Brooklyn, NY",5,42.358761,-71.063832,40.678145,-73.944467,1860-03-07,loc.00563.xml,http://whitman-dev.unl.edu/biography/correspondence/cw/tei/loc.00563.html
Thayer & Eldridge [DUPLICATE],"Whitman, Walt","Boston, MA","Brooklyn, NY",5,42.358761,-71.063832,40.678145,-73.944467,1860-03-07,loc.01002.xml,http://whitman-dev.unl.edu/biography/correspondence/cw/tei/loc.01002.html
Thayer & Eldridge,"Whitman, Walt","Boston, MA","Brooklyn, NY",5,42.358761,-71.063832,40.678145,-73.944467,1860-03-09,loc.00564.xml,http://whitman-dev.unl.edu/biography/correspondence/cw/tei/loc.00564.html
"Vaughan, Fred","Whitman, Walt","New York, NY","Boston, MA",3,40.680048,-73.94318,42.358761,-71.063832,1860-03-19,loc.00565.xml,http://whitman-dev.unl.edu/biography/correspondence/cw/tei/loc.00565.html
